Predicted Residential Area,Total Requests,Number of Users
RIVERVALE DR,36,9
RIVERVALE WALK,63,10
ROWELL RD,8,2
SAGO LANE,48,9
SAUJANA RD,6,1
SEGAR RD,61,6
SELEGIE RD,29,6
SEMBAWANG CL,59,13
SEMBAWANG CRES,58,10
SEMBAWANG DR,602,76
SEMBAWANG VISTA,35,7
SEMBAWANG WAY,36,6
SENGKANG CTRL,1316,146
SENGKANG EAST AVE,42,6
SENGKANG EAST RD,15,3
SENGKANG EAST WAY,36,8
SENGKANG WEST AVE,13,3
SENGKANG WEST WAY,6,2
SENJA LINK,58,5
SENJA RD,22,6
SERANGOON AVE 1,11,2
SERANGOON AVE 2,40,3
SERANGOON AVE 3,20,4
SERANGOON AVE 4,34,7
SERANGOON CTRL,200,31
SERANGOON NTH AVE 1,88,15
SERANGOON NTH AVE 3,5,1
SERANGOON NTH AVE 4,29,4
SHUNFU RD,5,1
SILAT AVE,46,7
SIMEI LANE,10,2
SIMEI RD,99,18
SIMEI ST 1,49,11
SIMEI ST 4,22,1
SIMEI ST 5,7,1
SIMS DR,35,9
SIMS PL,160,29
SIN MING AVE,37,9
SIN MING RD,28,7
SMITH ST,47,11
ST. GEORGE'S LANE,25,7
STIRLING RD,43,9
STRATHMORE AVE,3,1
SUMANG LINK,71,12
TAMAN HO SWEE,99,13
TAMPINES AVE 4,75,13
TAMPINES AVE 8,13,2
TAMPINES AVE 9,10,3
TAMPINES CTRL 1,3,1
TAMPINES CTRL 7,36,6
TAMPINES CTRL 8,10,1
TAMPINES ST 11,19,2
TAMPINES ST 21,27,5
TAMPINES ST 22,1285,170
TAMPINES ST 23,40,9
TAMPINES ST 33,183,34
TAMPINES ST 34,11,2
TAMPINES ST 41,53,8
TAMPINES ST 42,38,6
TAMPINES ST 43,21,5
TAMPINES ST 44,220,29
TAMPINES ST 45,44,8
TAMPINES ST 71,22,2
TAMPINES ST 72,4,1
TAMPINES ST 81,20,4
TAMPINES ST 82,76,11
TAMPINES ST 83,45,9
TAMPINES ST 84,29,5
TAMPINES ST 91,19,3
TANGLIN HALT RD,45,6
TAO CHING RD,34,5
TEBAN GDNS RD,41,7
TECK WHYE AVE,3,1
TECK WHYE CRES,342,37
TECK WHYE LANE,31,7
TELOK BLANGAH CRES,39,7
TELOK BLANGAH DR,94,15
TELOK BLANGAH HTS,13,3
TELOK BLANGAH RISE,11,3
TELOK BLANGAH ST 31,4,1
TELOK BLANGAH WAY,81,11
TG PAGAR PLAZA,128,26
TIONG BAHRU RD,140,29
TOA PAYOH CTRL,4,1
TOA PAYOH EAST,40,7
TOA PAYOH NTH,128,27
TOH GUAN RD,27,7
TOH YI DR,17,4
TOWNER RD,64,14
UBI AVE 1,173,31
UPP ALJUNIED LANE,17,3
UPP BOON KENG RD,20,4
UPP CROSS ST,4,1
UPP SERANGOON CRES,5,1
UPP SERANGOON RD,135,20
WATERLOO ST,13,3
WELLINGTON CIRCLE,17,4
WEST COAST RD,28,8
WHAMPOA DR,15,4
WHAMPOA STH,69,9
WOODLANDS AVE 1,13,2
WOODLANDS AVE 3,11,2
WOODLANDS AVE 4,12,3
WOODLANDS AVE 6,79,13
WOODLANDS AVE 9,5,1
WOODLANDS CIRCLE,22,2
WOODLANDS CRES,310,64
WOODLANDS DR 14,5,1
WOODLANDS DR 16,21,2
WOODLANDS DR 40,67,11
WOODLANDS DR 50,68,10
WOODLANDS DR 52,52,5
WOODLANDS DR 53,7,2
WOODLANDS DR 60,35,9
WOODLANDS DR 62,4,1
WOODLANDS DR 70,279,39
WOODLANDS DR 73,54,4
WOODLANDS RING RD,24,6
WOODLANDS ST 13,18,3
WOODLANDS ST 31,31,6
WOODLANDS ST 32,8,1
WOODLANDS ST 41,3,1
WOODLANDS ST 81,8,2
WOODLANDS ST 82,3,1
YISHUN AVE 1,4,1
YISHUN AVE 11,38,6
YISHUN AVE 3,125,14
YISHUN AVE 4,57,9
YISHUN AVE 5,7,1
YISHUN CTRL,1258,153
YISHUN CTRL 1,3,1
YISHUN RING RD,126,16
YISHUN ST 11,406,71
YISHUN ST 20,57,7
YISHUN ST 21,79,16
YISHUN ST 22,53,8
YISHUN ST 31,32,8
YISHUN ST 41,209,28
YISHUN ST 51,78,14
YISHUN ST 61,139,23
YISHUN ST 71,327,56
YISHUN ST 72,254,49
YISHUN ST 81,10,3
YUNG AN RD,9,3
YUNG HO RD,3,1
YUNG KUANG RD,52,13
YUNG SHENG RD,31,6
ZION RD,52,10
