Community,Twitter Handle,Similarity Score,Influence Score,Total Score
1410,suvoutdoorsales,0.7241515440302777,1.733683717346292e-05,0.5431179922320016
1026,rizarul,0.7230121223625009,2.5437641720309548e-05,0.5422654511823057
1215,dtothebailey,0.722737660519199,1.5168251252243697e-06,0.5420536245956805
1311,dorschfordkia,0.7225966865152654,7.708862901737999e-06,0.5419494421021746
1188,nemo20000,0.7211216280542707,2.5396779841490793e-05,0.5408475702356633
135,bridleleasing,0.7201958037204264,0.0021660677895819444,0.5406883697377152
1121,catdt,0.719821386860527,1.0899481887737367e-05,0.5398687650158671
1294,motoringchat,0.7197370432649095,1.6076909567828038e-05,0.5398068016760741
1105,andycollett73,0.7195509257212357,9.962629310206936e-07,0.5396634433566595
1574,k4monitor,0.7190478126459665,4.607601736135401e-05,0.5392973784888153
1733,autotimes1,0.7183036724713346,0.00010047005042811593,0.538752871866108
760,lincolnrati,0.7181498347628994,6.602336863427795e-06,0.5386140266563905
1445,ameer_hussain,0.718014474644847,7.734933195145328e-06,0.5385127897169341
440,ktnnewske,0.714216360546628,0.01072037487605647,0.5383423641289851
27,businessinsider,0.6008744446425613,0.3498911537337731,0.5381286219153643
1274,obharry1,0.7170488359254574,1.0184895176770805e-05,0.5377891731678872
1371,everythingpoli1,0.716924063890498,1.3890651964640166e-06,0.5376933951841727
1368,autotribute,0.7165229673377465,4.6796425152429975e-05,0.537403924609598
23,reuters,0.5744967131087271,0.4258510473723928,0.5373352966746435
575,davrobin,0.7163368985373302,4.1619907529043826e-05,0.5372630788798799
1038,allcarvideos,0.7160276779612704,7.720673377077214e-05,0.5370400601543954
1201,basque_design,0.7156862229326696,1.9937238209202864e-05,0.5367696515090545
1226,autopsc,0.7155451459884716,6.151631897792372e-05,0.5366742385710982
1392,binaratmaja,0.7113931974139062,0.01219043616416821,0.5365925071014717
35,_marrkkkk,0.7134631425485127,0.0021617962775005873,0.5356378059807597
465,petronerd54,0.7133817418599896,6.163794956408405e-06,0.5350378473437313
1421,car_lease,0.7132305951980962,5.3842859616485175e-05,0.5349364071134762
1144,landrovernwldn,0.7132349926111117,1.188997909264884e-05,0.534929216953107
709,gwestr,0.7130883274247584,2.1607416367510882e-05,0.5348216474226607
395,siemensuknews,0.7122446800762756,0.0025322493981645715,0.534816572406748
1614,5staraz,0.712901425508655,5.253192015718463e-05,0.5346892021115305
820,kendra_newman,0.7128407488286127,0.0001445331019918256,0.5346666948969575
375,insideevs,0.7075682840870862,0.013197794807399405,0.5339756617671645
1092,gapinsure,0.7118928051859807,2.0925355438469836e-05,0.5339248352283452
97,talkingscars,0.7098489178783183,0.004446230488466815,0.5334982460308554
1717,evsmotors,0.7107093515064203,2.4892303357468392e-05,0.5330382367056546
34,_lechristy_,0.7073183774175487,0.008877395206423642,0.5327081318647674
914,convertibles,0.7098190722066595,0.00013394095486953168,0.532397789393712
849,shlgreencab,0.708382951083474,2.187813820362056e-05,0.5312926828471565
472,orangebookvalue,0.7070165769142086,0.003032327458444091,0.5310205145502674
484,amberleeisok,0.7073253267448647,6.544131352959221e-05,0.5305103553870308
700,15minutenewstec,0.7063138080440503,1.6656932161277384e-05,0.5297395202660781
745,zachwhitedev,0.7062298047801072,2.346338865581447e-06,0.5296729401697968
500,haroldthimbleby,0.7060094674974012,4.024157371842466e-05,0.5295171610164806
955,creditconcept,0.706021117106229,1.4773244709216517e-06,0.5295162071607894
565,nai_merinhunter,0.7054247021889034,3.7562278194774993e-05,0.5290779172112263
369,mahindraelctrc,0.7034284440765534,0.00494000019418344,0.5288063331059608
1575,s4jef,0.7046675284553734,8.174207486911306e-06,0.5285026898934018
1564,emetplayz,0.7035485051834376,2.6722192635788705e-06,0.527662046942394
1507,bmwcasey,0.7032446490466844,1.765825345641928e-05,0.5274379013483773
539,mwt2008,0.7010933350138719,1.656445790600712e-05,0.5258241423748805
1156,rhemamotors,0.7004573245224227,4.8256282722728065e-06,0.525344199798885
1662,ecarmotorco,0.6991252457768923,1.2057574725904659e-06,0.5243442357720374
999,news1english,0.6973968039826997,0.0011699758048903488,0.5233400969382473
432,cllrstevef,0.6975481368104399,1.6178517986656887e-05,0.5231651472373267
775,flabicyclelawyr,0.6969795960570156,1.9067742893973825e-05,0.5227394639784853
1260,mavenspire,0.6967157558694481,1.5362050721757838e-05,0.5225406574147665
997,lookscene,0.6962778806791389,2.465510553678909e-06,0.5222090268869926
716,andy_g_sellars,0.6961248638062133,1.2018177244952731e-05,0.5220966523989712
97,atdcarshows,0.6942352514823473,0.0042125398234234175,0.5217295735676164
258,obedihs,0.6940951458360853,0.003716168925697213,0.5215004016084883
366,robertturvil,0.6945459356044122,0.002163464693106895,0.5214503178765859
1516,inzmamshaikh9,0.6951830501941806,5.018558129160318e-06,0.5213885422851677
749,officialdreamio,0.6948925809516014,2.3180295607783123e-05,0.5211752307876031
1387,mynewvolvoexp,0.6940938049488333,2.6587034867034018e-06,0.5205710183874966
1335,jnloris,0.6937479250872596,1.2806861772395085e-06,0.520311263986989
906,ad7843594498,0.6936741008511238,7.16936875594331e-07,0.5202557548725618
343,pochesuave,0.6927280644464988,0.0021589769117074985,0.5200857925628011
816,carinformation5,0.6934045635365662,4.5932842097736804e-05,0.5200649058629492
