partition,node,degree centrality,closeness centrality,betweenness centrality,eigenvector centrality,harmonic centrality,total centrality score,average tweet similarity,follower to following ratio,individual_profile_similarity,density,diameter,average path length,clustering coefficient,network size,average profile similarity,network size ratio,total community influence score,total similarity score,total influence score,total value of user
8,ayisadusine,0.000421585,0.019534564,0,8.44E-06,0.042486653,0.097211183,0.525934898,8.18E-06,0.33853308,0.05,0.416666667,0.451146517,0,39,0.373128267,0.016774194,0.015395576,0.466296808,0.106808109,0.376424633
4,mortenlund89,0.002529511,0.023766639,0.001610128,9.55E-07,0.046637496,0.116035822,0.368054638,0.000100499,0.478423443,0.0259,1,1,0,84,0.329384593,0.036129032,0.073193806,0.44186518,0.179567621,0.37629079
89,comonsensei,0.000421585,0.003212775,0,1.45E-38,0.005663082,0.014472336,0.522664079,1.44E-05,0.439977721,0.0769,0.333333333,0.377984085,0,27,0.345559906,0.011612903,0.009153493,0.494239568,0.022421225,0.376284982
23,tweshmishra,0.000421585,0.003736931,0,1.61E-26,0.006702509,0.016906198,0.606692521,7.84E-05,0.364733388,0.0345,0.333333333,0.483681707,0,57,0.325379902,0.024516129,0.020875853,0.489729538,0.035908228,0.37627421
266,_meowmeow420,0.000421585,0.000251889,0,1.46E-92,0.000430108,0.001717828,0.498002063,3.47E-05,0.4209686,1,0.083333333,0.183756806,0,1,0.406239191,0.000430108,0.000544985,0.500970699,0.002178989,0.376272772
0,eaphen,0.000421585,0.015508507,0,1.95E-07,0.030444444,0.072186595,0.443952464,1.91E-05,0.452094244,0.0192,0.333333333,0.381031196,0,103,0.346719102,0.044301075,0.032497697,0.468342711,0.099304516,0.376083162
41,clilongwe,0.000421585,0.024989105,0,0.000717391,0.057206194,0.12971757,0.534062887,2.33E-06,0.299364191,0.0168,0.333333333,0.385206191,0,118,0.359368684,0.050752688,0.037320458,0.448566605,0.158427177,0.376031748
22,tujyekunywa,0.00084317,0.019813925,6.90E-05,9.92E-08,0.038354932,0.091965358,0.478392964,0.005562971,0.401116234,0.0909,0.333333333,0.396151036,0,21,0.362875642,0.009032258,0.007409923,0.468191938,0.099527252,0.376025767
23,flocky14385685,0.000421585,0.003806455,0,1.69E-26,0.006917563,0.017349171,0.622720954,1.36E-05,0.347392142,0.0345,0.333333333,0.483681707,0,57,0.325379902,0.024516129,0.020875853,0.48920998,0.036266818,0.375974189
79,nanaziegler,0.000421585,0.000335852,0,3.13E-83,0.000645161,0.002183276,0.585051171,1.75E-05,0.39212774,0.6667,0.166666667,0.245009074,0,2,0.34609199,0.000860215,0.000927635,0.50020334,0.002967003,0.375894256
